"","LInkZip","iMISID","ZCTA","NameLnk","NAME","PLACEFP","STATEFP","GISJOIN","SUST_MANAGER","SUST_CEOPLAN","SUST_CITCOMM","SUST_BUDGET","SUST_STAFF","POV_POL_CNT","POV_POL_PER","WAT_POL_PER","WAT_POL_CNT","EM_POL_CNT","EM_POL_PER","USTATE.","USTATE","UPO","UMETRO","STATE_GHG","STATE_WATER","STATE_POV","GEO.id","POV_PERCENT_POP","PER_CAP_INC","COL_DEG_PER","DEM_VOTE_PER","NRDC_COUNT","NRDC_PER_ZIP_POP","NRDC_PER_TOTNRDC","WATER_STRESS_RANKS","WATER_STRESS_TOPN_PER","WATER_STRESS_ABS","TOT_POP"
"21",12508,175502,"12508","36_Beacon","Beacon","05100","36","G36005100",0,0,1,0,0,0,0,0,0,0,0,36,"NY","Beacon",0,2.35,11,4.64,"8600000US12508","14.3","28064","21.6564798",54.37,58,0.0028798411122145,1e-04,10,0,0.390459707,14566
"22",12832,175566,"12832","36_Granville","Granville","30026","36","G36030026",0,0,0,0,0,0,0,0,0,0,0,36,"NY","Granville",0,2.35,11,4.64,"8600000US12832","18.1","21737","13.6247619",50.41,16,0.00233781414377557,0,119,0,0.504578276,2541
"23",12986,109892,"12986","36_Tupper Lake","Tupper Lake","75671","36","G36075671",0,0,0,0,0,1,0.2,0.4,2,0,0,36,"NY","Tupper Lake",0,2.35,11,4.64,"8600000US12986","11.1","24599","14.1200042",61.29,28,0.00459016393442623,0,55,0,0.439821942,3828
"24",13148,175662,"13148","36_Seneca Falls","Seneca Falls","66322","36","G36066322",1,0,0,0,0,0,0,0,0,0,0,36,"NY","Seneca Falls",0,2.35,11,4.64,"8600000US13148","11.3","24490","20.8526567",51.33,26,0.00238160666849867,0,91,0,0.481433257,6629
"25",13152,175668,"13152","36_Skaneateles","Skaneateles","67510","36","G36067510",0,0,0,0,0,0,0,0.2,1,0,0,36,"NY","Skaneateles",0,2.35,11,4.64,"8600000US13152","4.3","48403","46.3515099",60.35,56,0.0068401123732747,1e-04,91,0,0.481433257,2539
"26",13202,175673,"13202","36_Syracuse","Syracuse","73000","36","G36073000",0,0,0,0,0,0,0,0,0,0,0,36,"NY","Syracuse",1,2.35,11,4.64,"8600000US13202","57.3","11732","23.0220131",60.35,11,0.00204271123491179,0,91,0,0.481433257,138068
"27",13617,175761,"13617","36_Canton","Canton","12331","36","G36012331",0,0,0,0,0,0,0,0.2,1,0,0,36,"NY","Canton",0,2.35,11,4.64,"8600000US13617","16.4","22164","27.6074936",58.3,52,0.00464866797782943,1e-04,55,0,0.439821942,6077
"28",13662,175775,"13662","36_Massena","Massena","46019","36","G36046019",0,0,0,0,0,1,0.2,0.2,1,0,0,36,"NY","Massena",0,2.35,11,4.64,"8600000US13662","15.5","23908","14.5337005",58.3,22,0.00133228365530188,0,55,0,0.439821942,10539
"29",13669,175779,"13669","36_Ogdensburg","Ogdensburg","54485","36","G36054485",1,1,1,0,1,2,0.4,0,0,2,0.4,36,"NY","Ogdensburg",0,2.35,11,4.64,"8600000US13669","20","21696","14.1806036",58.3,27,0.00156186729912651,0,55,0,0.439821942,11119
"30",13827,175831,"13827","36_Owego","Owego","55882","36","G36055882",0,0,0,0,0,0,0,0,0,0,0,36,"NY","Owego",0,2.35,11,4.64,"8600000US13827","7.8","27870","24.7216422",44.79,45,0.00388098318240621,1e-04,3,0,0.380232299,3708
"31",13838,175842,"13838","36_Sidney","Sidney","67334","36","G36067334",0,0,0,0,1,2,0.4,0.2,1,0,0,36,"NY","Sidney",0,2.35,11,4.64,"8600000US13838","14.9","24478","20.3774257",47.34,19,0.00473107569721116,0,3,0,0.380232299,3692
"32",13901,175854,"13901","36_Binghamton","Binghamton","06607","36","G36006607",0,1,1,0,1,0,0,0,0,3,0.6,36,"NY","Binghamton",1,2.35,11,4.64,"8600000US13901","17.4","24890","20.1425772",54.08,44,0.00229585181320115,1e-04,3,0,0.380232299,44729
"33",14020,110276,"14020","36_Batavia","Batavia","04715","36","G36004715",0,0,0,0,0,4,0.8,0.2,1,0,0,36,"NY","Batavia",0,2.35,11,4.64,"8600000US14020","18.6","24737","19.3991404",40.66,32,0.00136216584369147,0,88,0,0.478730817,57821
"34",14094,175887,"14094","36_Lockport","Lockport","43082","36","G36043082",0,0,0,0,0,5,1,0.2,1,0,0,36,"NY","Lockport",1,2.35,11,4.64,"8600000US14094","13.5","24984","16.7620482",50.51,72,0.0014265335235378,1e-04,88,0,0.478730817,214464
"35",14224,175954,"14224","36_West Seneca","West Seneca","80907","36","G36080907",0,0,1,0,0,0,0,0,0,0,0,36,"NY","West Seneca",0,2.35,11,4.64,"8600000US14224","5.6","28191","20.4986519",58.9,100,0.00250394371134537,1e-04,88,0,0.478730817,43795
"36",14411,175964,"14411","36_Albion","Albion","01033","36","G36001033",0,0,0,0,0,0,0,0,0,0,0,36,"NY","Albion",0,2.35,11,4.64,"8600000US14411","14.3","18907","12.7181149",40.52,17,0.0011850819100732,0,99,0,0.488114643,5548
"37",14420,175969,"14420","36_Brockport","Brockport","08466","36","G36008466",0,0,0,0,0,0,0,0.2,1,0,0,36,"NY","Brockport",0,2.35,11,4.64,"8600000US14420","14.9","23727","30.5638114",58.97,37,0.00181550539744848,1e-04,99,0,0.488114643,8342
"38",14424,175973,"14424","36_Canandaigua","Canandaigua","12144","36","G36012144",0,0,0,0,0,1,0.2,0,0,0,0,36,"NY","Canandaigua",0,2.35,11,4.64,"8600000US14424","10.1","31442","28.2687318",49.93,88,0.00337035618536959,1e-04,91,0,0.481433257,104475
"39",14424,175972,"14424","36_Canandaigua","Canandaigua","12144","36","G36012144",1,0,0,0,0,1,0.2,0.2,1,0,0,36,"NY","Canandaigua",0,2.35,11,4.64,"8600000US14424","10.1","31442","28.2687318",49.93,88,0.00337035618536959,1e-04,91,0,0.481433257,11168
